brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
2018 Honda Jazz V CVT,51K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.01 kmpl
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
Max torque
110 nm
VIEW ALL SPECIFICATIONS",₹6.74 Lakh
2019 Hyundai Verna 1.6 VTVT SX,48K km, · Petrol, · Manual,,"Mileage (ARAI)
17.4 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.43 Lakh
2019 Honda City ZX,14K km, · Petrol, · Manual,,"Mileage (ARAI)
17.04 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.6 bhp
VIEW ALL SPECIFICATIONS",₹10.22 Lakh
2014 Maruti Suzuki Swift VXI,77K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
232 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
VIEW ALL SPECIFICATIONS",₹3.81 Lakh
2019 Tata Harrier XZ,74K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹12.25 Lakh
2021 Ford EcoSport Ambiente 1.5L TDCi,25K km, · Diesel, · Manual,,"Mileage (ARAI)
23 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
98.96 bhp
VIEW ALL SPECIFICATIONS",₹8.03 Lakh
2017 Hyundai Eon Magna +,29K km, · Petrol, · Manual,"Mileage (ARAI)
20.03 kmpl
Ground clearance
170 mm
Boot space
215 litres
Seating capacity
5 units
Fuel tank capacity
32 litres
Max power
68.05 bhp
VIEW ALL SPECIFICATIONS",,₹3.34 Lakh
2020 Kia Seltos GTX Plus,40K km, · Petrol, · Manual,"Mileage (ARAI)
16.1 kmpl
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
Max torque
242 nm
VIEW ALL SPECIFICATIONS",,₹13.98 Lakh
2013 Volkswagen Polo Highline1.2L (P),71K km, · Petrol, · Manual,"Mileage (ARAI)
16.47 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
73.9 bhp
Max torque
110 nm
VIEW ALL SPECIFICATIONS",,₹4.31 Lakh
2021 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,27K km, · Petrol, · Manual,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹7.29 Lakh
2020 Renault Kwid 1.0 RXT Opt,38K km, · Petrol, · Manual,,"Mileage (ARAI)
22 kmpl
Ground clearance
180 mm
Boot space
279 litres
Seating capacity
5 units
Fuel tank capacity
28 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",₹4.59 Lakh
2021 Maruti Suzuki Baleno Zeta AT Petrol,11K km, · Petrol, · Automatic,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹8.27 Lakh
2019 Maruti Suzuki Vitara Brezza ZDI PLUS AT,56K km, · Diesel, · Automatic,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",,₹8.69 Lakh
2019 Honda City ZX CVT,32K km, · Petrol, · Automatic,"Mileage (ARAI)
18 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.6 bhp
VIEW ALL SPECIFICATIONS",,₹10.50 Lakh
2016 Volkswagen Polo Highline1.2L (P),39K km, · Petrol, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.79 Lakh
2019 Kia Seltos GTX,35K km, · Petrol, · Manual,"Mileage (ARAI)
16.1 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",,₹13.76 Lakh
2018 Maruti Suzuki Swift ZXI AMT,30K km, · Petrol, · Automatic,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.64 Lakh
2018 Maruti Suzuki Baleno Zeta Petrol,52K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.12 Lakh
2020 Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT CNG,28K km, · Petrol+cng, · Manual,,"Mileage (ARAI)
18.5 kmpl
Boot space
260 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
68 bhp
Max torque
95.12 nm
VIEW ALL SPECIFICATIONS",₹6.97 Lakh
2017 Hyundai Eon Magna +,34K km, · Petrol, · Manual,"Mileage (ARAI)
20.03 kmpl
Ground clearance
170 mm
Boot space
215 litres
Seating capacity
5 units
Fuel tank capacity
32 litres
Max power
68.05 bhp
VIEW ALL SPECIFICATIONS",,₹3.08 Lakh
2019 Maruti Suzuki Baleno Delta Petrol,11K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.10 Lakh
2020 Maruti Suzuki Swift VXI,17K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹5.94 Lakh
2021 Kia Seltos HTK Plus G,7K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹12.29 Lakh
2020 Maruti Suzuki Dzire ZXI Plus AMT,13K km, · Petrol, · Automatic,"Mileage (ARAI)
23.26 kmpl
Ground clearance
170 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",,₹7.60 Lakh
2020 Tata Nexon XM S Petrol,14K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",₹8.03 Lakh
2021 Tata Nexon XMA AMT Diesel S,18K km, · Diesel, · Automatic,,"Mileage (ARAI)
22 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Displacement
1497 cc
VIEW ALL SPECIFICATIONS",₹10.58 Lakh
2018 Hyundai Creta 1.6 SX,45K km, · Diesel, · Manual,"Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
126 bhp
Max torque
260 nm
Displacement
1582 cc
VIEW ALL SPECIFICATIONS",,₹10.99 Lakh
2020 Toyota Innova Crysta 2.7 V,54K km, · Petrol, · Manual,,"Seating capacity
7 units
Fuel tank capacity
65 litres
Displacement
2694 cc
VIEW ALL SPECIFICATIONS",₹16.99 Lakh
2019 Hyundai Elite i20 Sportz Plus 1.2,25K km, · Petrol, · Manual,,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",₹6.58 Lakh
2019 Hyundai Elite i20 Sportz Plus 1.2,26K km, · Petrol, · Manual,,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",₹6.62 Lakh
2020 Maruti Suzuki Baleno Zeta Petrol,12K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.95 Lakh
2021 Tata Safari XZA Plus 6S,28K km, · Diesel, · Automatic,,"Mileage (ARAI)
14.08 kmpl
Ground clearance
205 mm
Boot space
73 litres
Seating capacity
7 units
Fuel tank capacity
50 litres
Max power
167.67 bhp
VIEW ALL SPECIFICATIONS",₹19.90 Lakh
2015 Hyundai i20 Active 1.2 S,57K km, · Petrol, · Manual,"Mileage (ARAI)
17.19 kmpl
Ground clearance
190 mm
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
Max torque
115 nm
VIEW ALL SPECIFICATIONS",,₹4.99 Lakh
2016 Honda Jazz V,31K km, · Petrol, · Manual,"Mileage (ARAI)
16.6 kmpl
Ground clearance
165 mm
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
VIEW ALL SPECIFICATIONS",,₹4.91 Lakh
2021 MG Motors Hector 1.5 Sharp DCT AT,23K km, · Petrol, · Automatic,,"Mileage (ARAI)
13.96 kmpl
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
141 bhp
Max torque
250 nm
VIEW ALL SPECIFICATIONS",₹19.28 Lakh
2018 Maruti Suzuki Swift ZDI AMT,62K km, · Diesel, · Automatic,"Mileage (ARAI)
25.2 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.31 Lakh
2014 Maruti Suzuki Ritz ZXI,48K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹4.29 Lakh
2013 Hyundai i10 Sportz AT Petrol,23K km, · Petrol, · Automatic,"Mileage (ARAI)
16.95 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.8 nm
VIEW ALL SPECIFICATIONS",,₹3.99 Lakh
2014 Hyundai Grand i10 Magna 1.1 CRDi,73K km, · Diesel, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
70 bhp
Max torque
160 nm
VIEW ALL SPECIFICATIONS",₹3.95 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto Petrol,54K km, · Petrol, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹11.76 Lakh
2016 Maruti Suzuki Swift Dzire ZDI AMT,28K km, · Diesel, · Automatic,"Mileage (ARAI)
23.4 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.62 Lakh
2012 Skoda Rapid Ambition 1.6 MPI MT,81K km, · Petrol, · Manual,"Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
105 bhp
Max torque
153 nm
Displacement
1598 cc
VIEW ALL SPECIFICATIONS",,₹4.44 Lakh
2011 Hyundai i10 Sportz 1.2 Petrol,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.8 nm
VIEW ALL SPECIFICATIONS",,₹3.21 Lakh
2019 Tata Harrier XZ,35K km, · Diesel, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",,₹16.67 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto,46K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.13 Lakh
2020 Honda Amaze 1.5 VX i-DTEC,30K km, · Diesel, · Manual,"Mileage (ARAI)
27.4 kmpl
Ground clearance
170 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹8.69 Lakh
2015 Volkswagen Polo Highline1.2L (P),54K km, · Petrol, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
2018 Honda Brio S(O)MT,47K km, · Petrol, · Manual,,"Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1198 cc
VIEW ALL SPECIFICATIONS",₹4.68 Lakh
2020 Kia Sonet HTX 1.5,29K km, · Diesel, · Manual,,"Mileage (ARAI)
24.1 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1493 cc
VIEW ALL SPECIFICATIONS",₹11.66 Lakh
2021 Skoda Kushaq Style 1.5L TSI MT,24K km, · Petrol, · Manual,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹16.71 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT (6 Airbags),21K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹17.49 Lakh
2021 Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
14.2 kmpl
Ground clearance
200 mm
Boot space
180 litres
Seating capacity
6 units
Fuel tank capacity
50 litres
Max power
156.82 bhp
VIEW ALL SPECIFICATIONS",,₹19.99 Lakh
2019 Nissan Kicks XV Premium Diesel,50K km, · Diesel, · Manual,,"Ground clearance
210 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108.5 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹10 Lakh
2018 Mahindra Marazzo M4 8str,48K km, · Diesel, · Manual,,"Mileage (ARAI)
17.3 kmpl
Ground clearance
200 mm
Boot space
190 litres
Seating capacity
8 units
Fuel tank capacity
45 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.99 Lakh
2021 MG Motors Hector 1.5 Sharp DCT AT,23K km, · Petrol, · Automatic,,"Mileage (ARAI)
13.96 kmpl
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
141 bhp
Max torque
250 nm
VIEW ALL SPECIFICATIONS",₹19.28 Lakh
2018 Maruti Suzuki Swift ZDI AMT,62K km, · Diesel, · Automatic,"Mileage (ARAI)
25.2 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.31 Lakh
2014 Maruti Suzuki Ritz ZXI,48K km, · Petrol, · Manual,"Mileage (ARAI)
18.5 kmpl
Ground clearance
170 mm
Boot space
236 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
85 bhp
VIEW ALL SPECIFICATIONS",,₹4.29 Lakh
2013 Hyundai i10 Sportz AT Petrol,, · Petrol, · Automatic,,,₹3.99 Lakh
2014 Hyundai Grand i10 Magna 1.1 CRDi,73K km, · Diesel, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
70 bhp
Max torque
160 nm
VIEW ALL SPECIFICATIONS",₹3.95 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto Petrol,54K km, · Petrol, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹11.76 Lakh
2016 Maruti Suzuki Swift Dzire ZDI AMT,28K km, · Diesel, · Automatic,"Mileage (ARAI)
23.4 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.62 Lakh
2012 Skoda Rapid Ambition 1.6 MPI MT,81K km, · Petrol, · Manual,"Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
105 bhp
Max torque
153 nm
Displacement
1598 cc
VIEW ALL SPECIFICATIONS",,₹4.44 Lakh
2011 Hyundai i10 Sportz 1.2 Petrol,53K km, · Petrol, · Manual,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
78.9 bhp
Max torque
111.8 nm
VIEW ALL SPECIFICATIONS",,₹3.21 Lakh
2019 Tata Harrier XZ,35K km, · Diesel, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",,₹16.67 Lakh
2017 Hyundai Creta 1.6 SX Plus Auto,46K km, · Diesel, · Automatic,"Mileage (ARAI)
17.01 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
126 bhp
VIEW ALL SPECIFICATIONS",,₹12.13 Lakh
2020 Honda Amaze 1.5 VX i-DTEC,30K km, · Diesel, · Manual,"Mileage (ARAI)
27.4 kmpl
Ground clearance
170 mm
Boot space
420 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",,₹8.69 Lakh
2015 Volkswagen Polo Highline1.2L (P),54K km, · Petrol, · Manual,"Mileage (ARAI)
16.2 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹5.19 Lakh
2018 Honda Brio S(O)MT,47K km, · Petrol, · Manual,,"Ground clearance
165 mm
Boot space
175 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Displacement
1198 cc
VIEW ALL SPECIFICATIONS",₹4.68 Lakh
2020 Kia Sonet HTX 1.5,29K km, · Diesel, · Manual,,"Mileage (ARAI)
24.1 kmpl
Ground clearance
205 mm
Boot space
392 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Displacement
1493 cc
VIEW ALL SPECIFICATIONS",₹11.66 Lakh
2021 Skoda Kushaq Style 1.5L TSI MT,24K km, · Petrol, · Manual,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹16.71 Lakh
2022 Skoda Kushaq Style 1.0L TSI AT (6 Airbags),21K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.2 kmpl
Ground clearance
188 mm
Boot space
385 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹17.49 Lakh
2021 Hyundai Alcazar Platinum (O) 6 STR 2.0 Petrol AT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
14.2 kmpl
Ground clearance
200 mm
Boot space
180 litres
Seating capacity
6 units
Fuel tank capacity
50 litres
Max power
156.82 bhp
VIEW ALL SPECIFICATIONS",,₹19.99 Lakh
2019 Nissan Kicks XV Premium Diesel,50K km, · Diesel, · Manual,,"Ground clearance
210 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
108.5 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹10 Lakh
2018 Mahindra Marazzo M4 8str,48K km, · Diesel, · Manual,,"Mileage (ARAI)
17.3 kmpl
Ground clearance
200 mm
Boot space
190 litres
Seating capacity
8 units
Fuel tank capacity
45 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.99 Lakh
2019 Maruti Suzuki Ciaz Alpha 1.5 Diesel,40K km, · Diesel, · Manual,"Mileage (ARAI)
26.82 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
94 bhp
VIEW ALL SPECIFICATIONS",,₹10.75 Lakh
2016 Maruti Suzuki S-Cross Alpha 1.6,79K km, · Diesel, · Manual,"Mileage (ARAI)
22.07 kmpl
Ground clearance
180 mm
Boot space
353 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",,₹8.16 Lakh
2018 Maruti Suzuki Vitara Brezza VDi (O),39K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",₹8.70 Lakh
2017 Maruti Suzuki Wagon R 1.0 VXI,43K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹4.44 Lakh
2017 Maruti Suzuki Dzire ZXI Plus AMT,47K km, · Petrol, · Automatic,,"Mileage (ARAI)
24.12 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
Max torque
113 nm
VIEW ALL SPECIFICATIONS",₹6.88 Lakh
2021 Honda City ZX CVT,8K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.4 kmpl
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
Max torque
145 nm
VIEW ALL SPECIFICATIONS",₹14.28 Lakh
2020 Maruti Suzuki S-Cross Zeta 1.5,19K km, · Petrol, · Manual,,"Mileage (ARAI)
18.55 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",₹9.40 Lakh
2022 Renault Kiger RXZ 1.0 Turbo MT Dual Tone,6K km, · Petrol, · Manual,,"Mileage (ARAI)
20.53 kmpl
Ground clearance
205 mm
Boot space
405 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
99 bhp
VIEW ALL SPECIFICATIONS",₹8.90 Lakh
2014 Maruti Suzuki Alto K10 VXI,35K km, · Petrol, · Manual,,"Mileage (ARAI)
20.92 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
VIEW ALL SPECIFICATIONS",₹3.01 Lakh
2013 Renault Fluence Diesel E2,98K km, · Diesel, · Manual,,"Mileage (ARAI)
20.4 kmpl
Ground clearance
168 mm
Seating capacity
5 units
Fuel tank capacity
67 litres
Max power
108 bhp
Max torque
240 nm
VIEW ALL SPECIFICATIONS",₹4.32 Lakh
2021 Volkswagen Taigun GT 1.5 TSI MT,7K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
188 mm
Boot space
50 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
148 bhp
VIEW ALL SPECIFICATIONS",₹14.96 Lakh
2018 Volkswagen Polo Highline Plus 1.5 (D),34K km, · Diesel, · Manual,,"Mileage (ARAI)
20.14 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
88 bhp
VIEW ALL SPECIFICATIONS",₹7.75 Lakh
2018 Maruti Suzuki Vitara Brezza ZDI PLUS AT Dual Tone,75K km, · Diesel, · Automatic,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹9.13 Lakh
2016 Maruti Suzuki Ertiga VDI,96K km, · Diesel, · Manual,,"Mileage (ARAI)
24.52 kmpl
Ground clearance
185 mm
Boot space
135 litres
Seating capacity
7 units
Fuel tank capacity
45 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.96 Lakh
2016 Maruti Suzuki Alto 800 LXI,53K km, · Petrol, · Manual,,"Mileage (ARAI)
22.74 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",₹3 Lakh
2017 Hyundai Fluidic Verna 4S 1.6 CRDi SX,52K km, · Diesel, · Manual,"Mileage (ARAI)
24.8 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
126 bhp
Max torque
260 nm
VIEW ALL SPECIFICATIONS",,₹8.08 Lakh
2021 Tata Harrier XZ,27K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹17.85 Lakh
2011 Nissan Micra XV Petrol,57K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
154 mm
Boot space
251 litres
Seating capacity
5 units
Fuel tank capacity
41 litres
Max power
75 bhp
VIEW ALL SPECIFICATIONS",₹3.46 Lakh
2020 Tata Altroz XZ 1.5,22K km, · Diesel, · Manual,,"Mileage (ARAI)
21.11 kmpl
Ground clearance
165 mm
Boot space
345 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.76 bhp
VIEW ALL SPECIFICATIONS",₹8.56 Lakh
2020 Honda WR-V i-DTEC VX,18K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1498 cc
VIEW ALL SPECIFICATIONS",₹11.14 Lakh
2021 MG Motors Hector 1.5 Sharp DCT AT,23K km, · Petrol, · Automatic,,"Mileage (ARAI)
13.96 kmpl
Boot space
587 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
141 bhp
Max torque
250 nm
VIEW ALL SPECIFICATIONS",₹19.28 Lakh
2018 Maruti Suzuki Swift ZDI AMT,62K km, · Diesel, · Automatic,"Mileage (ARAI)
25.2 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
74 bhp
VIEW ALL SPECIFICATIONS",,₹7.31 Lakh
