,brand_and_model,km_driven,fuel_type,transmission,all_spec_1,all_spec_2,price
806,2018 Maruti Suzuki Baleno Alpha Petrol,38K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.44 Lakh
807,2019 Maruti Suzuki Swift VXI,39K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹5.47 Lakh
808,2021 Hyundai Venue SX 1.0 Turbo iMT,12K km, · Petrol, · Manual,"Mileage (ARAI)
18 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹10.23 Lakh
809,2020 Maruti Suzuki S-Presso VXI Opt CNG,81K km, · Petrol+cng, · Manual,,"Mileage (ARAI)
31.19 kmpl
Ground clearance
180 mm
Boot space
270 litres
Seating capacity
5 units
Fuel tank capacity
27 litres
Max power
58 bhp
VIEW ALL SPECIFICATIONS",₹4 Lakh
810,2018 Maruti Suzuki Ciaz Alpha Petrol,35K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91.1 bhp
VIEW ALL SPECIFICATIONS",₹7.95 Lakh
811,2022 Maruti Suzuki Swift VXI,15K km, · Petrol, · Manual,,"Mileage (ARAI)
21.21 kmpl
Ground clearance
163 mm
Boot space
268 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.80 Lakh
812,2021 Tata Safari XZ Plus,36K km, · Diesel, · Manual,,"Mileage (ARAI)
16.14 kmpl
Ground clearance
205 mm
Seating capacity
7 units
Fuel tank capacity
50 litres
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹19.14 Lakh
813,2021 Hyundai Venue SX Plus 1.0 Turbo DCT,10K km, · Petrol, · Automatic,"Mileage (ARAI)
18.15 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹11.18 Lakh
814,2019 Ford EcoSport Trend 1.5L TDCi,89K km, · Diesel, · Manual,"Mileage (ARAI)
21.7 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
98.96 bhp
VIEW ALL SPECIFICATIONS",,₹6.96 Lakh
815,2022 Honda City ZX,13K km, · Petrol, · Manual,"Mileage (ARAI)
18.4 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
VIEW ALL SPECIFICATIONS",,₹13.49 Lakh
816,2019 Maruti Suzuki Celerio VXI CNG,37K km, · Petrol+cng, · Manual,,"Mileage (ARAI)
30.47 kmpl
Ground clearance
165 mm
Boot space
235 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
58.33 bhp
VIEW ALL SPECIFICATIONS",₹4.90 Lakh
817,2020 Nissan Magnite XV Premium Turbo Dual Tone,20K km, · Petrol, · Manual,,"Displacement
999 cc
VIEW ALL SPECIFICATIONS",₹8.41 Lakh
818,2016 Maruti Suzuki Baleno Alpha Petrol,37K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.81 Lakh
819,2022 Maruti Suzuki XL6 Zeta MT Petrol,14K km, · Petrol, · Manual,,"Mileage (ARAI)
19.01 kmpl
Ground clearance
180 mm
Boot space
209 litres
Seating capacity
6 units
Fuel tank capacity
45 litres
Max power
103.2 bhp
VIEW ALL SPECIFICATIONS",₹11.20 Lakh
820,2019 Tata Nexon XM Petrol,39K km, · Petrol, · Manual,"Mileage (ARAI)
17 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
118.3 bhp
VIEW ALL SPECIFICATIONS",,₹6.99 Lakh
821,2021 Maruti Suzuki Baleno Zeta Petrol,70K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹6.89 Lakh
822,2019 Ford EcoSport Titanium 1.5L Ti-VCT,34K km, · Petrol, · Manual,"Mileage (ARAI)
15.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
120.69 bhp
VIEW ALL SPECIFICATIONS",,₹7.30 Lakh
823,2020 Kia Seltos HTX IVT G,26K km, · Petrol, · Automatic,,"Mileage (ARAI)
16.8 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.4 bhp
VIEW ALL SPECIFICATIONS",₹14.42 Lakh
824,2018 Volkswagen Polo Comfortline 1.0L (P),56K km, · Petrol, · Manual,,"Mileage (ARAI)
17.74 kmpl
Ground clearance
165 mm
Boot space
280 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
75.01 bhp
VIEW ALL SPECIFICATIONS",₹5.38 Lakh
825,2022 Skoda Slavia Style 1.0L TSI MT,25K km, · Petrol, · Manual,,"Mileage (ARAI)
19.47 kmpl
Ground clearance
179 mm
Boot space
521 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
114 bhp
VIEW ALL SPECIFICATIONS",₹13.82 Lakh
826,2015 Maruti Suzuki Baleno Alpha Petrol,52K km, · Petrol, · Manual,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",,₹5.30 Lakh
827,2020 Maruti Suzuki Alto 800 VXI,17K km, · Petrol, · Manual,"Mileage (ARAI)
22.05 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.3 bhp
VIEW ALL SPECIFICATIONS",,₹3.84 Lakh
828,2015 Honda Amaze 1.2 S i-VTEC,77K km, · Petrol, · Manual,,"Mileage (ARAI)
18 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.7 bhp
VIEW ALL SPECIFICATIONS",₹3.94 Lakh
829,2019 Maruti Suzuki Alto K10 VXI,41K km, · Petrol, · Manual,,"Mileage (ARAI)
24.07 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67 bhp
VIEW ALL SPECIFICATIONS",₹3.57 Lakh
830,2021 Tata Safari XZA Plus 6S,41K km, · Diesel, · Automatic,,"Mileage (ARAI)
14.08 kmpl
Ground clearance
205 mm
Boot space
73 litres
Seating capacity
7 units
Fuel tank capacity
50 litres
Max power
167.67 bhp
VIEW ALL SPECIFICATIONS",₹18.40 Lakh
831,2018 Tata Nexon XZA Plus AMT Petrol,100K km, · Petrol, · Automatic,,"Mileage (ARAI)
17 kmpl
Ground clearance
209 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
44 litres
Max power
108.5 bhp
VIEW ALL SPECIFICATIONS",₹6.90 Lakh
832,2020 Maruti Suzuki S-Cross Zeta 1.5 AT,35K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.43 kmpl
Ground clearance
180 mm
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Displacement
1462 cc
VIEW ALL SPECIFICATIONS",₹9.73 Lakh
833,2011 Honda City V,97K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
160 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹3.28 Lakh
834,2018 Toyota Corolla Altis G Petrol,80K km, · Petrol, · Manual,,"Mileage (ARAI)
14.28 kmpl
Ground clearance
175 mm
Boot space
470 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
138.03 bhp
VIEW ALL SPECIFICATIONS",₹11.29 Lakh
835,2019 Tata Harrier XZ,37K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹13.72 Lakh
836,2015 Toyota Camry Hybrid,70K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.16 kmpl
Ground clearance
160 mm
Seating capacity
5 units
Fuel tank capacity
65 litres
Max power
158 bhp
Max torque
213 nm
VIEW ALL SPECIFICATIONS",₹16.17 Lakh
837,2021 Honda City ZX,13K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.35 bhp
VIEW ALL SPECIFICATIONS",₹12.84 Lakh
838,2018 Maruti Suzuki Ciaz S Petrol,43K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91.1 bhp
VIEW ALL SPECIFICATIONS",₹7.79 Lakh
839,2020 Hyundai Venue SX 1.0 Turbo,41K km, · Petrol, · Manual,,"Mileage (ARAI)
18.27 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",₹8.65 Lakh
840,2017 Honda Amaze 1.2 S i-VTEC,22K km, · Petrol, · Manual,,"Mileage (ARAI)
18 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.7 bhp
VIEW ALL SPECIFICATIONS",₹5.20 Lakh
841,2020 Honda City VX,39K km, · Petrol, · Manual,,"Mileage (ARAI)
18.4 kmpl
Ground clearance
165 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
119.3 bhp
VIEW ALL SPECIFICATIONS",₹11.55 Lakh
842,2018 Maruti Suzuki Dzire ZDI,18K km, · Diesel, · Manual,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
163 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74.02 bhp
VIEW ALL SPECIFICATIONS",₹6.74 Lakh
843,2019 Hyundai Venue SX Plus 1.0 Turbo DCT,31K km, · Petrol, · Automatic,"Mileage (ARAI)
18.15 kmpl
Ground clearance
195 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
118.35 bhp
VIEW ALL SPECIFICATIONS",,₹10.22 Lakh
844,2013 Maruti Suzuki Wagon R 1.0 VXI,59K km, · Petrol, · Manual,,"Mileage (ARAI)
18.9 kmpl
Ground clearance
165 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
67.1 bhp
Max torque
90 nm
VIEW ALL SPECIFICATIONS",₹2.83 Lakh
845,2018 Honda WR-V VX i-VTEC,20K km, · Petrol, · Manual,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",,₹7.36 Lakh
846,2015 Honda Amaze 1.2 VX i-VTEC,33K km, · Petrol, · Manual,,"Mileage (ARAI)
18.0 kmpl
Ground clearance
165 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
86.9 bhp
VIEW ALL SPECIFICATIONS",₹4.90 Lakh
847,2016 Honda City V,49K km, · Petrol, · Manual,,"Mileage (ARAI)
17.8 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.3 bhp
VIEW ALL SPECIFICATIONS",₹6.98 Lakh
848,2014 Hyundai i10 Sportz Petrol,65K km, · Petrol, · Manual,,"Mileage (ARAI)
20.36 kmpl
Ground clearance
165 mm
Boot space
225 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
68 bhp
VIEW ALL SPECIFICATIONS",₹3.38 Lakh
849,2018 Maruti Suzuki Dzire VDI,57K km, · Diesel, · Manual,,"Mileage (ARAI)
28.4 kmpl
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
74 bhp
Max torque
190 nm
VIEW ALL SPECIFICATIONS",₹6.38 Lakh
850,2017 Hyundai Creta 1.6 SX Plus Auto Petrol,41K km, · Petrol, · Automatic,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹10.40 Lakh
851,2021 Tata Safari XZA Plus,22K km, · Diesel, · Automatic,,"Seating capacity
7 units
Fuel tank capacity
50 litres
Max power
167.67 bhp
Max torque
350 nm
Displacement
1956 cc
VIEW ALL SPECIFICATIONS",₹20.20 Lakh
852,2018 Maruti Suzuki Ciaz Alpha AT Petrol,45K km, · Petrol, · Automatic,,"Mileage (ARAI)
20 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹8.85 Lakh
853,2019 Honda WR-V VX i-VTEC,25K km, · Petrol, · Manual,,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",₹7.81 Lakh
854,2013 Honda City V,45K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
160 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹4.56 Lakh
855,2019 Tata Harrier XZ,44K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹13.52 Lakh
856,2018 Honda Jazz V CVT,51K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.01 kmpl
Boot space
354 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
88.51 bhp
Max torque
110 nm
VIEW ALL SPECIFICATIONS",₹6.74 Lakh
857,2019 Hyundai Verna 1.6 VTVT SX,21K km, · Petrol, · Manual,,"Mileage (ARAI)
17.4 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹9.32 Lakh
858,2020 Kia Seltos HTK G,23K km, · Petrol, · Manual,,"Mileage (ARAI)
16.8 kmpl
Ground clearance
190 mm
Boot space
433 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
113.4 bhp
VIEW ALL SPECIFICATIONS",₹10.83 Lakh
859,2019 Honda City ZX,14K km, · Petrol, · Manual,,"Mileage (ARAI)
17.04 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.6 bhp
VIEW ALL SPECIFICATIONS",₹10.22 Lakh
860,2018 Maruti Suzuki Vitara Brezza ZDi,23K km, · Diesel, · Manual,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
89 bhp
VIEW ALL SPECIFICATIONS",₹7.42 Lakh
861,2019 Maruti Suzuki Ciaz Alpha Petrol,26K km, · Petrol, · Manual,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹8.56 Lakh
862,2014 Hyundai Santro Xing GL Plus,61K km, · Petrol, · Manual,,"Mileage (ARAI)
17.92 kmpl
Ground clearance
172 mm
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
62.1 bhp
Max torque
96.1 nm
VIEW ALL SPECIFICATIONS",₹2.89 Lakh
863,2019 Maruti Suzuki Vitara Brezza ZDi AMT,37K km, · Diesel, · Automatic,,"Mileage (ARAI)
24.3 kmpl
Ground clearance
198 mm
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
88.5 bhp
VIEW ALL SPECIFICATIONS",₹8.33 Lakh
864,2017 Maruti Suzuki Dzire ZXI AMT,72K km, · Petrol, · Automatic,,"Mileage (ARAI)
23.26 kmpl
Ground clearance
163 mm
Boot space
378 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
88.50 bhp
VIEW ALL SPECIFICATIONS",₹6.21 Lakh
865,2018 Maruti Suzuki Ciaz Alpha Petrol,57K km, · Petrol, · Manual,,"Mileage (ARAI)
20.73 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91.1 bhp
VIEW ALL SPECIFICATIONS",₹7.06 Lakh
866,2014 Maruti Suzuki Swift Dzire VXI,76K km, · Petrol, · Manual,,"Mileage (ARAI)
19.1 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
VIEW ALL SPECIFICATIONS",₹4.10 Lakh
867,2019 Maruti Suzuki Baleno Zeta Petrol,75K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6 Lakh
868,,75K km,,,,,
869,2020 Maruti Suzuki Baleno Delta Petrol,23K km, · Petrol, · Manual,,"Mileage (ARAI)
21.01 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹6.22 Lakh
870,2018 Mahindra Scorpio S5,35K km, · Diesel, · Manual,,"Mileage (ARAI)
16.36 kmpl
Ground clearance
180 mm
Boot space
460 litres
Seating capacity
7 units
Fuel tank capacity
60 litres
Max power
138.13 bhp
VIEW ALL SPECIFICATIONS",₹10.36 Lakh
871,2017 Hyundai Creta 1.6 SX Plus Petrol,50K km, · Petrol, · Manual,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",,₹9.38 Lakh
872,2017 Hyundai Creta 1.6 SX Plus Auto Petrol,36K km, · Petrol, · Automatic,,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",₹10.21 Lakh
873,2019 Hyundai Elite i20 Asta 1.2 (O),18K km, · Petrol, · Manual,,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",₹7.31 Lakh
874,2021 Maruti Suzuki Alto 800 LXI,21K km, · Petrol, · Manual,,"Mileage (ARAI)
22.05 kmpl
Ground clearance
160 mm
Boot space
177 litres
Seating capacity
5 units
Fuel tank capacity
35 litres
Max power
47.33 bhp
VIEW ALL SPECIFICATIONS",₹3.44 Lakh
875,2018 Hyundai Verna SX(O) AT Petrol+cng(outside fitted),45K km, · Petrol+cng, · Automatic,,"Mileage (ARAI)
17 kmpl
Ground clearance
165 mm
Boot space
480 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
121.3 bhp
VIEW ALL SPECIFICATIONS",₹9.48 Lakh
876,2013 Honda City V,90K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
160 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹4.77 Lakh
877,2019 Hyundai Venue SX 1.4 CRDI,35K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Ground clearance
190 mm
Boot space
350 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
98.6 bhp
VIEW ALL SPECIFICATIONS",₹8.46 Lakh
878,2014 Maruti Suzuki Swift Dzire VXI,86K km, · Petrol, · Manual,,"Mileage (ARAI)
19.1 kmpl
Ground clearance
170 mm
Boot space
320 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
85.8 bhp
VIEW ALL SPECIFICATIONS",₹3.88 Lakh
879,2013 Honda City V,37K km, · Petrol, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
160 mm
Boot space
506 litres
Seating capacity
5 units
Fuel tank capacity
42 litres
Max power
118 bhp
VIEW ALL SPECIFICATIONS",₹5.01 Lakh
880,2019 Tata Harrier XZ,74K km, · Diesel, · Manual,,"Mileage (ARAI)
17 kmpl
Ground clearance
205 mm
Boot space
425 litres
Seating capacity
5 units
Fuel tank capacity
50 litres
Max power
138 bhp
VIEW ALL SPECIFICATIONS",₹12.25 Lakh
881,2019 Maruti Suzuki Ciaz Alpha Petrol,44K km, · Petrol, · Manual,,"Mileage (ARAI)
20.65 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
103.25 bhp
VIEW ALL SPECIFICATIONS",₹8.20 Lakh
882,2016 Maruti Suzuki Baleno Zeta AT Petrol,76K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.56 kmpl
Ground clearance
170 mm
Boot space
339 litres
Seating capacity
5 units
Fuel tank capacity
37 litres
Max power
81.80 bhp
VIEW ALL SPECIFICATIONS",₹5.33 Lakh
883,2019 Maruti Suzuki Ciaz Alpha Diesel,46K km, · Diesel, · Manual,"Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
88.5 bhp
Max torque
200 nm
VIEW ALL SPECIFICATIONS",,₹8.20 Lakh
884,2020 Ford EcoSport Titanium + 1.5L Ti-VCT,34K km, · Petrol, · Manual,,"Mileage (ARAI)
15.9 kmpl
Ground clearance
200 mm
Boot space
352 litres
Seating capacity
5 units
Fuel tank capacity
52 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.92 Lakh
885,2017 Hyundai Elite i20 Sportz 1.2,48K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",₹5.55 Lakh
886,2018 Hyundai Creta 1.6 SX VTVT,28K km, · Petrol, · Manual,,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
55 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",₹9.90 Lakh
887,2017 Hyundai Elite i20 Sportz 1.2,42K km, · Petrol, · Manual,,"Mileage (ARAI)
18.6 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",₹5.69 Lakh
888,2015 Honda City VX CVT,75K km, · Petrol, · Automatic,,"Mileage (ARAI)
18 kmpl
Ground clearance
165 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
117.3 bhp
VIEW ALL SPECIFICATIONS",₹6.76 Lakh
889,2020 Maruti Suzuki S-Cross Alpha 1.5,20K km, · Petrol, · Manual,,"Mileage (ARAI)
18.55 kmpl
Boot space
375 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
103.25 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",₹10.33 Lakh
890,2018 Honda WR-V i-DTEC VX,61K km, · Diesel, · Manual,,"Mileage (ARAI)
23.7 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Max power
97.89 bhp
VIEW ALL SPECIFICATIONS",₹6.80 Lakh
891,2020 Renault Triber RXZ AMT,14K km, · Petrol, · Automatic,,"Mileage (ARAI)
18.2 kmpl
Ground clearance
182 mm
Boot space
84 litres
Seating capacity
7 units
Fuel tank capacity
40 litres
Max power
72 bhp
VIEW ALL SPECIFICATIONS",₹7.07 Lakh
892,2016 Hyundai Creta 1.6 S Petrol,65K km, · Petrol, · Manual,,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",₹7.87 Lakh
893,2014 Hyundai Verna Fluidic 1.6 VTVT SX AT,99K km, · Petrol, · Automatic,,"Mileage (ARAI)
17.01 kmpl
Ground clearance
170 mm
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
Max torque
158 nm
VIEW ALL SPECIFICATIONS",₹5.22 Lakh
894,2017 Hyundai Creta 1.6 SX Plus Auto Petrol,58K km, · Petrol, · Automatic,,"Mileage (ARAI)
15.29 kmpl
Ground clearance
190 mm
Boot space
400 litres
Seating capacity
5 units
Fuel tank capacity
60 litres
Max power
122 bhp
VIEW ALL SPECIFICATIONS",₹10.93 Lakh
895,2021 Maruti Suzuki Vitara Brezza ZXI Plus,13K km, · Petrol, · Manual,,"Mileage (ARAI)
17.03 kmpl
Boot space
328 litres
Seating capacity
5 units
Fuel tank capacity
48 litres
Max power
103.26 bhp
Max torque
138 nm
VIEW ALL SPECIFICATIONS",₹9.62 Lakh
896,2016 Maruti Suzuki Ciaz ZXI+ AT,39K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹6.93 Lakh
897,2021 Honda WR-V i-VTEC VX,10K km, · Petrol, · Manual,,"Mileage (ARAI)
16.5 kmpl
Ground clearance
188 mm
Boot space
363 litres
Seating capacity
5 units
Fuel tank capacity
40 litres
Displacement
1199 cc
VIEW ALL SPECIFICATIONS",₹8.84 Lakh
898,2019 Hyundai Verna 1.6 VTVT SX (O),88K km, · Petrol, · Manual,,"Mileage (ARAI)
17.4 kmpl
Ground clearance
165 mm
Boot space
465 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
121 bhp
VIEW ALL SPECIFICATIONS",₹8.99 Lakh
899,2018 Maruti Suzuki Ciaz Zeta Petrol AT,17K km, · Petrol, · Automatic,,"Mileage (ARAI)
19.12 kmpl
Ground clearance
170 mm
Boot space
510 litres
Seating capacity
5 units
Fuel tank capacity
43 litres
Max power
91 bhp
VIEW ALL SPECIFICATIONS",₹8.19 Lakh
900,2018 Hyundai Elite i20 Asta 1.2 (O),34K km, · Petrol, · Manual,"Mileage (ARAI)
19.8 kmpl
Ground clearance
170 mm
Boot space
285 litres
Seating capacity
5 units
Fuel tank capacity
45 litres
Max power
82 bhp
VIEW ALL SPECIFICATIONS",,₹6.65 Lakh
